Case ID,Assign seriousness,Closed,Create SW anomaly,DUPLICATE,INVALID,Insert ticket,RESOLVED,Require upgrade,Resolve SW anomaly,Resolve ticket,Schedule intervention,Take in charge ticket,VERIFIED,Wait
Case 2947,2011-10-14 14:25:03,2011-11-16 15:30:22,,,,,,,,2011-10-14 15:19:23,,,,
Case 2948,2011-12-01 13:08:57,2012-01-03 13:10:17,,,,,,,,2011-12-09 11:00:58,,2011-12-02 16:18:20,,
Case 2949,2012-10-17 10:52:27,2012-11-20 11:04:19,,,,,,,,2012-11-05 11:04:01,,2012-10-30 16:14:27,,2012-10-31 13:43:45
Case 295,2012-02-15 09:20:54,2012-03-30 08:31:03,,,,,,,,2012-02-15 13:06:58,,2012-02-15 09:30:22,,
Case 2950,2011-04-28 13:07:18,2011-06-11 13:10:43,,,,,,,,2011-04-28 14:26:29,,2011-04-28 13:10:09,,
Case 2951,2011-03-09 10:33:27,2011-04-09 12:47:06,,,,,,,,2011-03-10 13:46:38,,2011-03-09 10:35:25,,2011-03-09 12:02:32
Case 2952,2011-11-16 16:10:11,2012-01-05 10:00:51,,,,,,,,2011-11-24 09:24:59,,2011-11-22 11:25:52,,2011-11-22 15:41:45
Case 2953,2010-09-21 14:28:40,2010-11-04 15:30:36,,,,,,,,2010-09-23 14:21:32,,2010-09-21 14:30:18,,
Case 2954,2010-05-27 12:34:51,2010-07-15 12:40:25,,,,,,,,2010-05-28 09:17:20,,2010-05-27 12:36:21,,
Case 2955,2011-08-30 13:21:29,2011-09-30 13:30:36,,,,2011-08-30 13:20:01,,,,2011-09-02 07:21:22,,2011-08-30 13:21:42,,
Case 2956,2013-01-28 17:00:24,2013-02-28 13:57:51,,,,,,,,2013-02-13 13:57:39,,,,2013-02-12 16:54:21
Case 2957,2010-08-05 12:21:58,2010-09-07 12:30:33,,,,,,,,2010-08-05 13:35:51,,2010-08-05 13:26:14,,
Case 2958,2012-04-11 09:29:01,2012-05-25 09:30:29,,,,,,,,2012-04-16 12:39:10,,2012-04-11 12:23:16,,
Case 2959,2010-04-21 15:53:03,2010-05-24 09:18:07,,,,,,,,2010-05-24 09:17:57,,2010-05-24 09:17:47,,
Case 296,2013-05-28 07:02:36,2013-07-12 12:37:18,,,,,,,,2013-06-27 12:37:05,,2013-06-17 12:42:33,,2013-06-17 14:24:47
Case 2960,2012-03-29 09:29:38,2012-05-16 09:30:29,,,,,,,,2012-03-30 08:00:58,,2012-03-29 09:29:47,,
Case 2961,2012-06-05 12:21:19,2012-07-12 16:13:47,,,,,,,,2012-06-27 16:13:36,,2012-06-06 07:03:09,,
Case 2962,2013-01-22 13:27:51,2013-02-22 13:11:01,,,,,,,,2013-02-07 13:10:46,,2013-02-06 16:41:17,,2013-02-07 09:07:32
Case 2963,2011-09-13 10:34:38,2011-10-14 10:40:48,,,,,,,,2011-09-14 15:09:21,,2011-09-13 10:35:02,,
Case 2964,2013-01-30 08:55:30,2013-03-12 13:43:17,,,,,,,,2013-02-25 13:42:58,,2013-02-15 08:16:39,,2013-02-15 08:19:12
Case 2965,2010-11-30 17:07:43,2011-01-04 08:52:49,,,,,,,,2010-12-01 15:29:07,,2010-12-01 15:28:59,,
Case 2966,2013-06-12 11:02:37,2013-07-18 09:28:38,,,,,,,,2013-07-03 09:28:28,,2013-06-27 10:38:00,,2013-06-27 13:37:39
Case 2967,2011-11-02 17:01:36,2011-12-11 09:37:20,,,,,,,,2011-11-03 09:22:55,,2011-11-02 17:06:35,,2011-11-02 17:23:23
Case 2968,2013-06-19 07:40:30,2013-08-07 09:38:11,,,,,,,,2013-07-23 09:37:59,,2013-06-19 07:41:00,,2013-06-28 13:44:28
Case 2969,2012-03-05 14:00:59,2012-04-20 13:10:23,,,,,,,,2012-03-06 16:51:28,,2012-03-05 14:07:25,,
Case 297,2010-07-15 10:44:37,2010-08-17 10:50:14,,,,,,,,2010-07-15 13:10:18,,2010-07-15 12:54:40,,
Case 2970,2013-03-18 10:53:43,2013-04-27 15:42:51,,,,,,2013-04-03 09:26:31,,2013-04-12 15:42:33,,2013-04-03 07:12:52,,2013-04-03 09:58:24
Case 2971,2013-02-01 13:41:12,2013-03-08 14:52:01,,,,,,,,2013-02-21 14:51:53,,2013-02-01 15:10:20,,
Case 2972,2011-10-19 09:25:30,2011-11-19 10:30:15,,,,,,,,2011-10-19 11:22:01,,2011-10-19 09:46:08,,
Case 2973,2012-05-30 14:23:13,2012-07-07 14:30:31,,,,,,,,2012-05-31 08:02:14,,2012-05-30 14:23:30,,
Case 2974,2012-02-08 11:25:52,2012-03-23 11:30:40,,,,,,,,2012-02-09 09:10:23,,2012-02-08 11:25:59,,
Case 2975,2013-10-04 07:28:22,2013-11-08 14:50:09,,,,,,,,2013-10-24 13:49:56,,2013-10-21 08:49:13,,2013-10-04 09:52:28
Case 2976,2010-04-08 13:03:59,2010-05-25 16:51:55,,,,,,,,2010-05-10 16:51:38,,2010-04-08 13:04:15,,
Case 2977,2012-05-10 08:27:27,2012-06-27 08:30:56,,,,,,,,2012-05-10 09:07:22,,2012-05-10 08:27:36,,
Case 2978,2012-04-11 09:07:00,2012-06-03 14:41:10,,,,,,,,2012-04-16 12:54:21,,2012-04-11 12:21:13,,2012-04-16 07:23:40
Case 2979,2010-02-17 16:53:21,2010-04-04 16:00:41,,,,,,,,2010-02-23 15:53:57,,2010-02-23 15:53:52,,
Case 298,2010-11-30 16:41:26,2011-01-01 16:50:34,,,,,,,,2010-12-01 09:11:26,,2010-12-01 09:11:18,,
Case 2980,2010-11-23 10:19:02,2011-01-06 10:20:45,,,,,,,,2010-11-23 11:18:29,,2010-11-23 10:49:15,,
Case 2981,2013-10-03 09:29:21,2013-11-13 14:06:33,,,,,,2013-10-03 09:54:25,,2013-10-29 14:06:18,,2013-10-03 09:29:46,,
Case 2982,2011-12-16 08:22:54,2012-01-18 08:30:24,,,,,,,,2011-12-21 15:22:35,,,,
Case 2983,2010-06-16 07:27:14,2010-07-17 07:30:49,,,,,,,,2010-06-16 09:22:54,,2010-06-16 09:20:13,,
Case 2984,2013-04-04 16:06:08,2013-05-07 08:32:34,,,,,,,,2013-04-22 08:32:22,,2013-04-17 08:37:20,,
Case 2985,2012-06-28 09:52:55,2012-08-09 09:50:18,,,,,,2012-07-16 08:32:44,,2012-07-25 08:29:47,,2012-06-28 10:55:15,,
Case 2986,2012-05-10 08:22:42,2012-06-12 08:30:10,,,,,,,,2012-05-10 08:59:37,,2012-05-10 08:22:50,,
Case 2987,2012-03-26 15:59:53,2012-05-18 16:00:48,,,,,,,,2012-03-29 07:31:26,,2012-03-26 16:00:03,,
Case 2988,2013-05-22 15:02:26,2013-07-10 12:44:24,,,,,,,,2013-06-25 12:44:06,,,,
Case 2989,2012-07-10 09:31:37,2012-09-07 09:40:29,,,,,,,,2012-07-10 13:20:57,,2012-07-10 13:13:50,,
Case 299,2013-08-06 09:33:42,2013-09-07 13:09:20,,,,,,,,2013-08-23 13:09:07,,2013-08-06 12:54:04,,2013-08-13 10:31:42
Case 2990,2011-10-04 13:00:33,2011-11-27 10:46:49,,,,,,,,2011-10-13 09:46:22,,2011-10-07 14:38:02,,
Case 2991,2011-02-24 14:04:03,2011-04-13 13:10:31,,,,,,,,2011-02-24 16:28:39,,2011-02-24 14:04:29,,
Case 2992,2013-02-06 17:31:36,2013-03-28 08:40:42,,,,,,,,2013-03-13 08:40:27,,2013-02-11 13:14:01,,2013-02-11 14:05:50
Case 2993,2010-04-09 06:58:27,2010-05-12 16:02:05,,,,,,,,2010-04-12 16:01:41,,2010-04-09 07:43:14,,2010-04-09 15:34:50
Case 2994,2011-07-12 16:20:06,2011-09-02 16:00:44,,,,,,,,2011-07-12 21:57:12,,,,
Case 2995,2010-09-22 10:12:24,2010-11-05 11:21:11,,,,,,,,2010-09-23 10:04:17,,2010-09-23 08:19:02,,
Case 2996,2012-07-23 07:30:10,2012-09-07 07:40:30,,,,,,,,2012-07-26 10:32:51,,2012-07-25 08:45:39,,
Case 2997,2011-10-17 09:38:04,2011-11-17 10:40:24,,,,,,,,2011-10-18 15:37:01,,2011-10-18 08:45:50,,
Case 2998,2011-12-19 09:39:15,2012-01-26 13:55:10,,,,,,,,2012-01-11 13:54:57,,2011-12-20 15:17:30,,
Case 2999,2010-09-20 08:56:44,2010-10-21 09:00:27,,,,,,,,2010-09-20 08:59:32,,2010-09-20 08:59:23,,
Case 3,2010-10-29 10:14:06,2010-11-30 11:20:18,,,,,,,,2010-11-03 16:21:17,,2010-11-03 16:16:11,,
Case 30,2011-01-21 09:47:20,2011-02-25 09:01:35,,,,,,,,2011-02-10 09:01:20,,2011-02-07 09:19:45,,
Case 300,2012-03-21 16:34:29,2012-04-21 15:41:09,,,,,,,,2012-03-26 10:31:22,,2012-03-21 16:34:39,,
Case 3000,2011-05-10 10:45:07,2011-06-11 10:51:20,,,,,,,,2011-05-10 12:26:23,,2011-05-10 10:45:18,,
Case 3001,2010-04-21 16:36:39,2010-06-16 09:16:45,,,,,,,,2010-06-01 09:16:31,,2010-06-01 09:16:04,,
Case 3002,2012-08-02 12:32:34,2012-09-09 12:40:43,,,,,,,,2012-08-02 13:27:10,,2012-08-02 12:43:37,,
Case 3003,2011-06-10 10:22:58,2011-07-13 10:30:23,,,,,,,,2011-06-10 10:25:31,,2011-06-10 10:24:53,,
Case 3004,2010-03-09 10:01:13,2010-05-01 15:56:46,,,,,,,,2010-04-16 15:56:30,,2010-04-16 15:56:18,,
Case 3005,2011-02-24 09:05:26,2011-04-13 10:00:36,,,,,,,,2011-03-14 11:00:16,,2011-02-25 13:23:49,,
Case 3006,2011-01-27 14:36:16,2011-03-02 10:54:41,,,,,,,,2011-02-15 10:54:22,,2011-02-15 10:54:16,,
Case 3007,2012-05-08 07:05:05,2012-06-08 07:10:45,,,,,,,,2012-05-08 07:20:30,,,,
Case 3008,2013-11-12 11:39:05,2013-12-20 13:41:39,,,,,,,,2013-12-05 13:41:24,,2013-11-26 17:02:11,,
Case 3009,2012-12-10 11:38:35,2013-02-06 10:06:25,,,,,,,,2013-01-22 10:06:13,,2012-12-11 11:24:46,,2012-12-12 11:40:08
Case 301,2010-05-06 11:05:09,2010-06-10 11:02:00,,,,,,,,2010-05-06 13:27:07,,2010-05-06 13:01:24,,2010-05-06 16:06:08
Case 3010,2013-02-06 16:54:09,2013-03-14 13:26:30,,,,,,,,2013-02-27 13:26:12,,2013-02-21 13:55:10,,2013-02-22 09:48:26
Case 3012,2010-09-20 12:18:55,2010-11-15 11:22:09,,,,,,,,2010-10-01 10:21:30,,2010-09-20 14:03:04,,2010-09-21 07:29:14
Case 3013,2013-11-05 15:31:34,2014-01-03 10:03:58,,,,,,,,2013-12-19 10:03:46,,2013-11-11 11:44:00,,2013-11-20 17:10:46
Case 3014,2011-10-27 07:44:43,2011-12-01 08:51:01,,,,,,,,2011-10-27 08:12:15,,,,
Case 3015,2013-01-18 08:43:56,2013-03-01 08:54:52,,,,,,2013-01-25 13:40:41,,2013-02-14 08:54:42,,2013-01-22 09:13:40,,
Case 3016,2012-10-29 14:24:19,2012-11-30 15:30:23,,,,,,,,2012-11-15 15:30:06,,2012-10-29 14:26:28,,
Case 3017,2012-06-05 10:05:11,2012-07-06 10:10:42,,,,,,,,2012-06-05 15:11:07,,2012-06-05 10:31:47,,
Case 3018,2011-10-24 10:02:39,2011-12-09 11:20:37,,,,,,,,2011-11-08 09:45:40,,2011-10-27 12:51:30,,2011-11-08 09:33:34
Case 3019,2012-02-06 08:36:59,2012-03-10 08:40:28,,,,,,,,2012-02-06 08:49:19,,2012-02-06 08:45:50,,
Case 302,2010-11-19 16:53:47,2010-12-26 17:00:29,,,,,,,,2010-11-22 08:52:33,,2010-11-19 17:24:12,,
Case 3020,2012-04-06 07:25:39,2012-05-09 07:30:19,,,,,,,,2012-04-06 08:05:32,,2012-04-06 07:25:54,,
Case 3021,2013-06-11 15:43:57,2013-07-12 13:18:48,,,,,,,,2013-06-27 13:18:38,,2013-06-19 15:18:32,,
Case 3023,2012-02-24 16:44:18,2012-03-28 15:51:01,,,,,,,,2012-03-05 11:55:26,,2012-03-05 11:28:44,,
Case 3024,2012-07-23 07:33:20,2012-09-05 07:41:02,,,,,,,,2012-07-23 07:35:00,,,,
Case 3025,2012-07-25 12:14:09,2012-09-07 12:20:40,,,,,,,,2012-08-03 14:26:19,,2012-07-27 10:54:46,,
Case 3026,2011-10-27 14:09:16,2011-11-29 15:10:21,,,,,,,,2011-11-02 15:21:41,,,,
Case 3027,2012-09-03 10:13:06,2012-10-24 16:20:39,,,,,,,,2012-10-09 16:20:22,,2012-09-04 07:16:55,,
Case 3028,2012-03-22 11:24:21,2012-04-28 12:30:47,,,,,,,,2012-04-06 10:38:35,,2012-03-22 13:12:04,,2012-04-02 09:30:50
Case 3029,2011-10-13 13:54:04,2011-11-26 15:00:35,,,,,,,,2011-10-14 15:26:53,,2011-10-14 14:44:15,,
Case 303,2012-02-06 08:29:21,2012-03-15 08:30:46,,,,,,,,2012-02-06 08:57:12,,2012-02-06 08:29:28,,
Case 3030,2010-11-04 09:02:04,2010-12-12 10:01:12,,,,,,,,2010-11-11 14:35:21,,2010-11-11 13:46:36,,2010-11-11 13:47:04
Case 3031,2010-09-16 07:47:25,2010-10-30 07:50:40,,,,2010-09-16 07:47:02,,,,2010-09-27 08:30:29,,2010-09-21 08:10:37,,
Case 3032,2011-10-12 09:00:38,2011-11-12 10:10:45,,,,,,,,2011-10-12 13:49:19,,2011-10-12 13:28:07,,
Case 3033,2011-06-21 08:44:10,2011-08-03 08:51:31,,,,,,,,2011-07-07 07:59:42,,2011-07-07 07:57:39,,
Case 3034,2013-03-27 11:23:50,2013-04-27 15:22:31,,,,,,,,2013-04-12 15:22:11,,2013-03-29 13:53:58,,2013-03-29 16:28:16
Case 3035,2013-04-04 12:38:38,2013-05-07 09:18:24,,,,,,,,2013-04-22 09:18:04,,2013-04-22 09:16:10,,
Case 3036,2011-05-19 13:12:29,2011-07-08 14:08:22,,,,,,,,2011-05-20 09:34:49,,2011-05-20 07:55:55,,
Case 3037,2013-02-07 14:00:23,2013-03-28 08:24:02,,,,,,,,2013-03-13 08:23:48,,2013-02-11 11:11:03,,2013-02-11 14:38:35
Case 3038,2013-11-07 11:47:24,2013-12-10 13:17:28,,,,,,,,2013-11-25 13:17:12,,2013-11-21 08:52:38,,2013-11-21 10:12:50
Case 3039,2011-06-20 13:18:42,2011-07-21 13:21:22,,,,,,,,2011-06-28 12:43:09,,2011-06-22 13:35:23,,
Case 304,2011-10-05 15:48:23,2011-11-12 16:52:36,,,,,,,,2011-10-06 13:48:54,,2011-10-06 09:30:22,,
Case 3040,2011-12-02 13:10:48,2012-01-04 13:20:28,,,,,,,,2011-12-12 13:42:41,,2011-12-09 13:53:14,,
Case 3041,2010-03-24 15:12:13,2010-05-15 10:03:42,,,,,,,,2010-04-15 10:03:19,,2010-04-15 10:03:09,,
Case 3042,2011-09-23 10:11:24,2011-11-06 11:21:22,,,,,,,,2011-09-29 15:09:30,,2011-09-26 07:27:43,,
Case 3043,2013-02-13 13:35:56,2013-03-16 09:35:35,,,,,,,,2013-03-01 09:35:16,,2013-02-28 14:40:08,,
Case 3044,2012-10-30 09:18:37,2012-11-30 09:05:33,,,,,,,,2012-11-15 09:05:15,,2012-10-30 09:19:07,,
Case 3045,2011-11-09 10:09:58,2011-12-17 10:10:29,,,,,,,,2011-11-10 11:51:53,,2011-11-09 16:31:15,,
Case 3046,2013-04-12 07:47:58,2013-05-18 08:02:12,,,,,,,,2013-05-03 08:01:55,,,,2013-04-12 09:54:51
Case 3047,2011-09-21 08:19:32,2011-10-22 08:20:23,,,,,,,,2011-09-21 14:34:42,,2011-09-21 08:20:25,,
Case 3048,2011-08-29 07:41:41,2011-09-29 07:50:58,,,,,,,,2011-09-01 10:08:56,,2011-09-01 09:30:49,,
Case 3049,2011-05-23 14:06:55,2011-06-28 14:26:14,,,,,,,,2011-05-23 15:40:05,,2011-05-23 14:07:12,,2011-05-23 14:09:46
Case 305,2012-05-07 07:41:52,2012-06-22 08:50:22,,,,,,,,2012-05-15 12:35:47,,2012-05-07 08:10:51,,2012-05-07 10:36:28
Case 3050,2010-09-14 13:50:57,2010-10-28 14:00:33,,,,,,,,2010-09-22 09:31:04,,2010-09-21 13:47:44,,2010-09-22 09:04:44
Case 3051,2011-04-06 10:59:00,2011-05-27 10:40:25,,,,,,,,2011-04-13 08:22:28,,2011-04-06 10:59:31,,2011-04-08 08:48:56
Case 3052,2011-01-24 11:48:44,2011-03-05 14:02:50,,,,,,,,2011-02-18 14:02:41,,2011-01-27 09:12:41,,
Case 3053,2011-09-09 13:51:50,2011-10-15 13:29:49,,,,,,,,2011-09-13 08:57:05,,2011-09-13 15:26:30,,
Case 3054,2011-05-10 14:52:43,2011-06-10 15:01:00,,,,,,,,2011-05-12 14:27:27,,2011-05-10 14:53:20,,
Case 3055,2011-03-24 14:53:31,2011-05-19 08:20:40,,,,,,,,2011-04-01 13:01:57,,2011-03-24 14:54:00,,2011-03-25 09:43:13
Case 3056,2013-02-05 11:48:46,2013-03-08 10:09:01,,,,,,,,2013-02-21 10:08:43,,2013-02-20 08:30:53,,
Case 3057,2011-09-29 09:38:19,2011-11-01 10:41:00,,,,,,,,2011-10-07 09:54:33,,2011-09-30 07:43:01,,
Case 3058,2013-05-15 09:22:18,2013-06-20 08:37:22,,,,,,2013-05-17 12:07:52,,2013-06-05 08:37:04,,2013-05-16 15:16:40,,
Case 3059,2012-11-09 08:06:02,2012-12-22 11:48:34,,,,,,2012-11-09 09:45:18,,2012-12-07 11:48:17,,2012-11-09 08:24:54,,
Case 306,2010-09-20 15:22:31,2010-11-03 16:30:42,,,,,,,,2010-09-20 15:24:30,,2010-09-20 15:23:07,,
Case 3060,2012-06-08 08:08:18,2012-07-26 08:10:33,,,,,,,,2012-06-12 07:31:42,,2012-06-08 12:43:04,,
Case 3061,2013-09-25 15:44:21,2013-10-29 14:40:00,,,,,,2013-10-11 12:29:55,,2013-10-14 13:39:45,,2013-10-02 07:21:53,,
Case 3062,2011-12-30 10:20:19,2012-02-01 10:31:31,,,,,,,,2011-12-30 11:16:16,,2011-12-30 10:23:02,,
Case 3063,2011-03-02 09:12:14,2011-04-15 08:20:27,,,,,,,,2011-03-03 10:27:51,,2011-03-03 09:01:39,,
Case 3064,2012-01-20 09:10:34,2012-03-04 09:20:31,,,,,,,,2012-01-23 13:54:06,,2012-01-20 14:06:37,,
Case 3065,2011-04-20 08:44:12,2011-05-21 08:50:33,,,,,,,,2011-04-21 12:42:45,,2011-04-20 08:44:37,,
Case 3066,2010-12-03 15:23:35,2011-01-04 16:15:19,,,,,,,,2010-12-20 16:15:09,,2010-12-17 08:25:28,,
Case 3067,2012-03-07 09:08:10,2012-04-18 15:43:11,,,,,,,,2012-03-16 14:51:38,,2012-03-07 16:47:21,,2012-03-13 16:26:02
Case 3068,2010-02-19 11:03:47,2010-03-31 10:13:06,,,,,,,,2010-02-22 13:54:17,,2010-02-22 13:54:11,,
Case 3069,2012-06-19 09:45:13,2012-07-20 09:50:20,,,,,,,,2012-06-19 15:56:47,,2012-06-19 10:59:00,,
Case 307,2012-06-22 08:02:35,2012-08-09 08:10:38,,,,,,,,2012-06-25 10:27:09,,2012-06-25 10:06:08,,
Case 3070,2011-10-27 10:17:21,2011-12-01 10:54:44,,,,,,,,2011-11-16 10:54:34,,2011-11-02 16:31:53,,
Case 3071,2012-09-21 12:21:03,2012-11-13 16:12:21,2012-09-21 12:25:06,,,,,2012-10-23 10:32:01,,2012-10-29 16:12:01,,2012-09-21 12:21:24,,
Case 3072,2011-10-18 15:17:26,2011-11-25 16:20:33,,,,,,,,2011-10-19 14:50:04,,2011-10-19 08:40:45,,
Case 3073,2013-02-18 11:07:14,2013-03-26 09:36:39,,,,,,,,2013-03-11 09:36:27,,2013-03-06 08:20:18,,2013-03-06 09:30:35
Case 3074,2012-03-05 09:43:00,2012-04-05 08:50:47,,,,,,,,2012-03-13 14:58:07,,2012-03-06 08:45:12,,
Case 3075,2012-07-24 09:43:08,2012-09-10 09:50:42,,,,,,,,2012-07-26 14:18:13,,2012-07-26 14:18:01,,
Case 3076,2011-07-15 12:38:01,2011-08-20 07:30:54,2011-07-22 08:19:31,,,,,,2011-07-22 08:19:44,2011-08-05 07:30:41,,2011-07-22 08:19:22,,
Case 3077,2013-11-13 13:31:11,2013-12-14 16:05:05,,,,,,2013-11-21 11:21:04,,2013-11-29 16:04:46,,,,
Case 3078,2012-12-03 10:09:25,2013-01-05 09:04:32,,,,,,,,2012-12-21 09:04:16,,2012-12-11 08:56:12,,2012-12-11 09:02:42
Case 3079,2010-08-26 15:15:45,2010-09-29 08:43:48,,,,2010-08-26 14:58:38,,,,2010-08-30 08:43:20,,2010-08-30 08:43:04,,
Case 308,2013-02-18 13:36:44,2013-04-17 14:51:43,,,,,,,,2013-04-02 14:51:20,,2013-04-02 14:32:10,,
Case 3080,2010-09-03 15:38:46,2010-11-01 16:40:54,,,,,,,,2010-09-03 15:40:01,,2010-09-03 15:39:47,,
Case 3082,2013-11-21 16:56:05,2014-01-01 09:32:25,,,,,,,,2013-12-17 09:32:12,,2013-11-22 08:37:19,,2013-11-28 14:19:04
Case 3083,2012-08-07 10:59:02,2012-09-12 15:29:05,,,,,,,,2012-08-28 15:28:54,,2012-08-09 15:21:57,,2012-08-17 14:38:39
Case 3084,2010-03-09 11:06:39,2010-04-09 10:10:44,,,,,,,,2010-03-09 11:10:28,,2010-03-09 11:07:27,,
Case 3085,2010-11-26 15:07:07,2010-12-28 15:10:26,,,,,,,,2010-11-29 09:40:04,,2010-11-29 09:38:17,,
Case 3086,2012-08-06 14:23:05,2012-09-07 14:30:40,,,,,,,,2012-08-06 14:24:47,,2012-08-06 14:23:20,,
Case 3087,2010-12-07 09:32:31,2011-01-08 09:40:19,,,,,,,,2010-12-13 14:50:04,,2010-12-10 15:35:42,,
Case 3088,2011-02-24 08:23:53,2011-04-06 10:32:20,,,,,,,,2011-03-18 11:07:25,,2011-02-24 14:34:56,,2011-03-10 08:15:40
Case 3089,2011-11-14 13:56:04,2011-12-17 11:00:23,,,,,,,,2011-11-24 14:41:23,,2011-11-18 14:02:58,,2011-11-22 16:51:16
Case 309,2012-07-20 07:01:09,2012-09-13 07:10:26,,,,,,,,2012-07-23 14:21:41,,2012-07-23 14:08:08,,
Case 3090,2011-08-03 12:17:48,2011-09-03 12:20:16,,,,,,,,2011-08-04 09:16:53,,2011-08-04 08:46:53,,
Case 3091,2011-11-22 08:14:01,2012-01-05 08:20:41,,,,,,,,2011-11-28 09:01:48,,2011-11-22 10:52:13,,
Case 3092,2012-05-29 12:45:50,2012-07-14 12:50:33,,,,,,,,2012-05-29 15:04:55,,2012-05-29 12:46:13,,
Case 3093,2012-07-09 15:11:14,2012-09-01 08:13:11,,,,,,,,2012-07-11 07:31:04,,2012-07-10 13:49:17,,
Case 3094,2012-03-02 11:14:48,2012-04-04 10:20:24,,,,,,,,2012-03-16 11:21:52,,2012-03-02 13:49:02,,
Case 3095,2012-08-02 09:01:16,2012-09-07 09:10:30,,,,,,,,2012-08-02 15:11:13,,2012-08-02 15:05:18,,
Case 3096,2012-05-04 15:58:57,2012-06-15 08:24:40,,,,,,,,2012-05-31 08:24:19,,2012-05-07 08:24:37,,
Case 3097,2012-01-20 11:08:05,2012-03-08 11:10:27,,,,,,,,2012-01-24 16:01:34,,,,
Case 3098,2010-09-23 09:26:42,2010-11-10 10:30:55,,,,,,,,2010-09-23 09:58:24,,2010-09-23 09:27:50,,
Case 3099,2011-07-22 08:58:54,2011-09-11 13:50:31,,,,,,,,2011-08-05 15:12:49,,2011-07-25 10:27:32,,2011-07-25 10:28:19
Case 31,2013-04-15 12:41:20,2013-05-30 13:31:00,2013-04-18 07:18:02,,,,,2013-04-18 07:18:23,,2013-05-15 13:30:39,,2013-04-18 07:06:11,,
Case 310,2011-06-09 10:44:39,2011-07-29 15:43:11,,,,,,,,2011-07-14 15:42:45,,2011-07-01 07:47:17,,2011-07-01 15:15:06
Case 3100,2011-03-16 10:32:16,2011-05-05 15:35:09,,,,,,,,2011-04-20 15:34:48,,2011-03-16 14:23:46,,2011-03-16 16:19:17
Case 3101,2010-10-21 08:40:09,2010-11-24 09:50:31,,,,,,,,2010-10-22 15:36:17,,2010-10-22 14:45:17,,
Case 3102,2011-11-09 11:54:01,2011-12-10 15:10:24,,,,,,,,2011-11-11 14:31:40,,2011-11-11 10:30:55,,2011-11-11 11:26:54
Case 3103,2013-06-03 12:19:57,2013-07-31 12:06:50,,,,,,2013-06-11 06:57:54,,2013-07-16 12:06:37,,2013-06-04 10:16:03,,
Case 3104,2011-04-19 08:40:20,2011-05-20 08:50:45,,,,,,,,2011-04-26 08:15:04,,2011-04-19 08:40:54,,
Case 3105,2011-12-05 11:13:31,2012-01-19 14:40:25,,,,,,,,2011-12-14 16:18:42,,2011-12-05 11:13:40,,2011-12-07 13:55:33
Case 3106,2012-06-22 10:08:25,2012-07-24 09:57:02,,,,,,,,2012-07-09 09:56:54,,2012-06-22 10:08:35,,
Case 3107,2012-05-15 09:08:18,2012-06-30 09:10:32,,,,,,,,2012-05-16 13:20:58,,2012-05-15 09:08:26,,
Case 3108,2011-12-20 16:54:40,2012-01-20 17:01:08,,,,,,,,2011-12-20 16:59:59,,,,
Case 3109,2012-06-18 15:21:09,2012-08-03 15:30:34,,,,,,,,2012-06-19 10:54:54,,2012-06-19 08:16:38,,
Case 311,2012-03-20 10:06:09,2012-04-20 09:10:28,,,,,,,,2012-03-20 10:07:16,,2012-03-20 10:06:45,,
Case 3110,2011-07-25 13:04:18,2011-09-08 07:19:39,,,,,,,,2011-08-24 07:19:23,,2011-08-10 13:23:56,,2011-08-16 07:41:34
Case 3111,2012-06-20 12:35:09,2012-07-21 12:40:12,,,,,,,,2012-06-25 10:04:17,,2012-06-20 12:35:21,,
Case 3112,2013-07-29 07:09:23,2013-08-29 09:15:25,,,,,,,,2013-08-14 09:15:12,,2013-07-29 08:17:36,,
Case 3113,2013-10-01 09:22:44,2013-11-01 08:29:46,,,,,,,,2013-10-17 07:29:26,,2013-10-01 12:33:56,,2013-10-09 09:36:31
Case 3114,2010-11-12 07:58:25,2010-12-25 17:00:33,,,,,,,,2010-11-23 10:01:00,,2010-11-12 14:43:23,,2010-11-17 15:01:51
Case 3115,2012-05-31 15:27:46,2012-07-28 07:51:14,,,,,,,,2012-07-12 14:55:15,,2012-06-01 07:10:02,,2012-06-18 13:38:53
Case 3116,2010-04-15 07:49:20,2010-05-29 07:51:02,,,,,,,,2010-04-15 07:51:55,,2010-04-15 07:51:40,,
Case 3117,2010-09-07 15:14:59,2010-10-30 15:21:46,,,,,,,,2010-09-08 14:58:28,,2010-09-08 14:54:03,,
Case 3118,2013-07-04 10:52:39,2013-08-07 07:58:05,2013-07-19 12:48:14,,,,,,,2013-07-23 07:57:30,,2013-07-04 11:01:35,,2013-07-04 12:41:31
Case 3119,2011-10-31 11:06:04,2011-12-14 11:11:52,,,,,,,,2011-11-02 17:39:08,,2011-11-02 09:39:15,,
Case 312,2012-07-18 10:56:55,2012-09-01 08:14:11,,,,,,,,2012-07-19 07:10:42,,2012-07-18 13:29:20,,
Case 3120,2011-10-12 12:27:54,2011-11-12 13:30:23,,,,,,,,2011-10-12 16:39:16,,2011-10-12 16:39:03,,
Case 3121,2013-11-05 11:26:09,2013-12-14 14:02:25,,,,,,,,2013-11-05 13:56:55,,2013-11-05 13:33:44,,
Case 3122,2012-06-13 12:11:15,2012-07-14 14:10:34,,,,,,,,2012-06-21 09:52:31,,2012-06-15 15:31:09,,2012-06-21 08:09:16
